titulo_oferta,descripcion_raw,fuente
"Community Manager - sector odontologico TECIMDEC CIA. LTDA. Modalidad: Presencial en Guayaquil Disponibilidad: Inmediata Horario: Tiempo completo Buscamos un Community Manager con enfoque estratégico, capaz de manejar marcas premium, crear contenido relevante y sostener una línea visual coherente con identidad corporativa. Responsabilidades principales Gestión y programación de contenido... Tiempo Completo GUAYAQUIL, Guayas • 22/05/2026 $460,00 / Mensual","Premium Community Manager - sector odontologico TECIMDEC CIA. LTDA. Modalidad: Presencial en Guayaquil Disponibilidad: Inmediata Horario: Tiempo completo Buscamos un Community Manager con enfoque estratégico, capaz de manejar marcas premium, crear contenido relevante y sostener una línea visual coherente con identidad corporativa. Responsabilidades principales Gestión y programación de contenido... Tiempo Completo GUAYAQUIL, Guayas • 22/05/2026 $460,00 / Mensual",trabajosdiarios
"Content Manager Servicios Profesionales Botica Alemana La prensa Nos encontramos en la búsqueda de un profesional creativo y dinámico para brindar servicios de creación y gestión de contenido audiovisual para nuestras marcas Botica Real, Botica Alemana y Consultorios Alemana. Objeto del servicio Planificar, producir y gestionar contenido audiovisual... Por Horas / Freelance Quito, Pichincha • 12/06/2026 $600,00 / Mensual","Content Manager Servicios Profesionales Botica Alemana La prensa Nos encontramos en la búsqueda de un profesional creativo y dinámico para brindar servicios de creación y gestión de contenido audiovisual para nuestras marcas Botica Real, Botica Alemana y Consultorios Alemana. Objeto del servicio Planificar, producir y gestionar contenido audiovisual... Por Horas / Freelance Quito, Pichincha • 12/06/2026 $600,00 / Mensual",trabajosdiarios
"Asistente administrativa y bodega VAZURCORP Atención al cliente: reclamos y sugerencias. Supervisar varias operaciones diarias de la oficina/ FACTURACIÓN Programar citas, recibir y entregar la correspondencia y manejar los correos electrónicos entrantes y responderlos. Editar, hacer fotocopias y archivar documentos. Programación de reuniones y entrevistas.... Tiempo Completo CUENCA, Azuay • 08/06/2026 $482,00 / Mensual","Asistente administrativa y bodega VAZURCORP Atención al cliente: reclamos y sugerencias. Supervisar varias operaciones diarias de la oficina/ FACTURACIÓN Programar citas, recibir y entregar la correspondencia y manejar los correos electrónicos entrantes y responderlos. Editar, hacer fotocopias y archivar documentos. Programación de reuniones y entrevistas.... Tiempo Completo CUENCA, Azuay • 08/06/2026 $482,00 / Mensual",trabajosdiarios
"Chofer INFERTEC Estamos buscando a un chofer que sea responsable y que garantice el transporte seguro, oportuno y eficiente de mercadería, equipos y materiales de la empresa hacia las sucursales, clientes y terminales de transporte, proporcionando una correcta custodia del vehiculo asignado... Por Contrato Quito, Pichincha • 03/06/2026 $500,00 / Mensual","Chofer INFERTEC Estamos buscando a un chofer que sea responsable y que garantice el transporte seguro, oportuno y eficiente de mercadería, equipos y materiales de la empresa hacia las sucursales, clientes y terminales de transporte, proporcionando una correcta custodia del vehiculo asignado... Por Contrato Quito, Pichincha • 03/06/2026 $500,00 / Mensual",trabajosdiarios
"Ingeniero/ Tecnológo Electromecánico ASTRIVEN Ingeniero/ Tecnológo Electromecánico para Mantenimiento e Instalación de Equipos Tipo de Contratación Tiempo completo / A prueba Descripción de la Plaza REQUISITOS • Título de ingeniero/tecnólogo electromecánico o a fin. • 5 años de experiencia en instalación y mantenimiento de... Tiempo Completo Guayaquil, Guayas • 27/05/2026","Ingeniero/ Tecnológo Electromecánico ASTRIVEN Ingeniero/ Tecnológo Electromecánico para Mantenimiento e Instalación de Equipos Tipo de Contratación Tiempo completo / A prueba Descripción de la Plaza REQUISITOS • Título de ingeniero/tecnólogo electromecánico o a fin. • 5 años de experiencia en instalación y mantenimiento de... Tiempo Completo Guayaquil, Guayas • 27/05/2026",trabajosdiarios
"Asesor Contact Center EckoLink Satelital ¿Eres una persona proactiva, con gran fluidez verbal y te apasiona el mundo de las ventas y la tecnología? ¡En EckoLink Satelital, Distribuidor Autorizado de DIRECTV, te estamos buscando! Objetivo del Puesto Contactar a clientes potenciales para ofrecer soluciones de... Por Horas / Freelance Guayaquil, Guayas • 11/05/2026 $600,00 / Mensual","Asesor Contact Center EckoLink Satelital ¿Eres una persona proactiva, con gran fluidez verbal y te apasiona el mundo de las ventas y la tecnología? ¡En EckoLink Satelital, Distribuidor Autorizado de DIRECTV, te estamos buscando! Objetivo del Puesto Contactar a clientes potenciales para ofrecer soluciones de... Por Horas / Freelance Guayaquil, Guayas • 11/05/2026 $600,00 / Mensual",trabajosdiarios
"Pasantía Laboral / Media and Strategic Deinsa Global Pasantía Laboral / Media Strategy En Deinsa Global lanzamos nuestro Programa de Pasantías Laborales, dirigido a estudiantes de alto rendimiento y profesionales que deseen iniciar su carrera en Marketing Digital y Gestión de Proyectos, dentro de La Plaza Digital, nuestra... Prácticas / Becario Sin experiencia Quito, Pichincha • 04/05/2026","Pasantía Laboral / Media and Strategic Deinsa Global Pasantía Laboral / Media Strategy En Deinsa Global lanzamos nuestro Programa de Pasantías Laborales, dirigido a estudiantes de alto rendimiento y profesionales que deseen iniciar su carrera en Marketing Digital y Gestión de Proyectos, dentro de La Plaza Digital, nuestra... Prácticas / Becario Sin experiencia Quito, Pichincha • 04/05/2026",trabajosdiarios
"Entrenador/Headcoach medio tiempo Fitness for You En Fitness For You no vendemos accesos a máquinas; diseñamos experiencias de transformación física y mental bajo estándares premium. No buscamos un instructor pasivo, sino un Coach líder, con un dominio impecable de la biomecánica, la programación de la fuerza... Por Contrato Quito- Cumbaya, Pichincha • 29/06/2026 $400,00 / Mensual","Entrenador/Headcoach medio tiempo Fitness for You En Fitness For You no vendemos accesos a máquinas; diseñamos experiencias de transformación física y mental bajo estándares premium. No buscamos un instructor pasivo, sino un Coach líder, con un dominio impecable de la biomecánica, la programación de la fuerza... Por Contrato Quito- Cumbaya, Pichincha • 29/06/2026 $400,00 / Mensual",trabajosdiarios
"Tecnico Electronico para reparar placas Laptop TV Impresora GYE Sinilsa Importadora Requerimos técnico en computadoras para el debido diagnóstico y reparación de placas con daño en sus componentes electrónicos (Ej: equipos que no encienden, que se apagan, etc) - Interpretar diagrama esquemático, datasheet y boardview - Manejo de herramientas y equipos... Tiempo Completo Guayaquil, Guayas • 29/06/2026 $650,00 / Mensual","Tecnico Electronico para reparar placas Laptop TV Impresora GYE Sinilsa Importadora Requerimos técnico en computadoras para el debido diagnóstico y reparación de placas con daño en sus componentes electrónicos (Ej: equipos que no encienden, que se apagan, etc) - Interpretar diagrama esquemático, datasheet y boardview - Manejo de herramientas y equipos... Tiempo Completo Guayaquil, Guayas • 29/06/2026 $650,00 / Mensual",trabajosdiarios
"Electricista Industrial SUMO+ Experiencia: Mínimo 4 años en industrias de manufactura (preferiblemente industria plástica, papeleras, cartoneras) Conocimientos: Mantenimiento preventivo y correctivo, programación de variadores, armado de tableros de 220 - 440, sensores de nivel (esto es muy importante ya que todas las maquinas... Tiempo Completo Guayaquil, Guayas • 24/06/2026 $550,00 / Mensual","Electricista Industrial SUMO+ Experiencia: Mínimo 4 años en industrias de manufactura (preferiblemente industria plástica, papeleras, cartoneras) Conocimientos: Mantenimiento preventivo y correctivo, programación de variadores, armado de tableros de 220 - 440, sensores de nivel (esto es muy importante ya que todas las maquinas... Tiempo Completo Guayaquil, Guayas • 24/06/2026 $550,00 / Mensual",trabajosdiarios
